Title: Dwarf galaxy annihilation and decay emission profiles 
       for dark matter experiments 
Authors: Geringer-Sameth A., Koushiappas S.M., Walker M. 
Table: Integrated J-Profiles and Containment Fractions 
================================================================================
Byte-by-byte Description of file: apj508296t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units      Label      Explanations
--------------------------------------------------------------------------------
   1- 17 A17    ---        Name       Object identifier
  19- 28 F10.8  deg        angle      Angular separation from dwarf center
  30- 36 F7.4   [GeV2/cm5] logJ-2     The -2{sigma} constraint on logJ (1)
  38- 44 F7.4   [GeV2/cm5] logJ-1     The -1{sigma} constraint on logJ (1)
  46- 52 F7.4   [GeV2/cm5] logJ       Median log10 integrated J-profile 
                                       within angle
  54- 60 F7.4   [GeV2/cm5] logJ+1     The +1{sigma} constraint on logJ (1)
  62- 68 F7.4   [GeV2/cm5] logJ+2     The +2{sigma} constraint on logJ (1)
  70- 76 F7.4   [GeV/cm2]  logJdec-2  The -2{sigma} constraint on logJdec (1)
  78- 84 F7.4   [GeV/cm2]  logJdec-1  The -1{sigma} constraint on logJdec (1)
  86- 92 F7.4   [GeV/cm2]  logJdec    Median log10 integrated J_decay_-profile
                                       within angle
  94-100 F7.4   [GeV/cm2]  logJdec+1  The +1{sigma} constraint on logJdec (1)
 102-108 F7.4   [GeV/cm2]  logJdec+2  The +2{sigma} constraint on logJdec (1)
 110-118 E9.3   ---        cf-2       The -2{sigma} constraint on cf-2 (1)
 120-128 E9.3   ---        cf-1       The -1{sigma} constraint on cf-1 (1)
 130-138 E9.3   ---        cf         Median fraction of total J contained 
                                       within angle
 140-148 E9.3   ---        cf+1       The +1{sigma} constraint on cf+1 (1)
 150-158 E9.3   ---        cf+2       The +2{sigma} constraint on cf+2 (1)
 160-168 E9.3   ---        cfdec-2    The -2{sigma} constraint on cfdec-2 (1)
 170-178 E9.3   ---        cfdec-1    The -1{sigma} constraint on cfdec-1 (1)
 180-188 E9.3   ---        cfdec      Median fraction of total J_decay_
                                       contained within angle 
 190-198 E9.3   ---        cfdec+1    The +1{sigma} constraint on cfdec+1 (1)
 200-208 E9.3   ---        cfdec+2    The +2{sigma} constraint on cfdec+2 (1)
--------------------------------------------------------------------------------
Note (1): 
  -2{sigma} =  2.3 percentile;
  -1{sigma} = 15.9 percentile;
  +1{sigma} = 84.1 percentile;
  +2{sigma} = 97.7 percentile.
--------------------------------------------------------------------------------
Bootes I          0.01000000 14.7692 15.3817 15.9749 16.7129 17.4826 14.6110 14.8731 15.0934 15.2755 15.4953 7.467e-04 1.104e-03 4.491e-03 3.858e-02 1.962e-01 7.081e-04 8.330e-04 1.327e-03 2.843e-03 1.358e-02 
Bootes I          0.01120173 14.8665 15.4732 16.0579 16.7661 17.5312 14.7087 14.9689 15.1882 15.3679 15.5828 9.377e-04 1.382e-03 5.447e-03 4.385e-02 2.175e-01 8.894e-04 1.046e-03 1.656e-03 3.496e-03 1.661e-02 
Bootes I          0.01254788 14.9632 15.5670 16.1413 16.8208 17.5692 14.8064 15.0660 15.2830 15.4600 15.6680 1.177e-03 1.726e-03 6.588e-03 4.975e-02 2.422e-01 1.116e-03 1.311e-03 2.063e-03 4.271e-03 2.027e-02 
Bootes I          0.01405580 15.0544 15.6595 16.2225 16.8743 17.6063 14.9042 15.1623 15.3771 15.5518 15.7540 1.476e-03 2.154e-03 7.961e-03 5.631e-02 2.690e-01 1.401e-03 1.643e-03 2.567e-03 5.227e-03 2.490e-02 
Bootes I          0.01574493 15.1496 15.7523 16.3071 16.9345 17.6529 15.0023 15.2580 15.4710 15.6430 15.8388 1.849e-03 2.686e-03 9.630e-03 6.378e-02 2.967e-01 1.756e-03 2.057e-03 3.191e-03 6.404e-03 3.056e-02 
Bootes I          0.01763705 15.2453 15.8441 16.3885 16.9915 17.6954 15.0993 15.3539 15.5651 15.7338 15.9233 2.316e-03 3.349e-03 1.162e-02 7.157e-02 3.275e-01 2.200e-03 2.572e-03 3.961e-03 7.835e-03 3.765e-02 
Bootes I          0.01975655 15.3406 15.9340 16.4710 17.0470 17.7363 15.1962 15.4479 15.6585 15.8248 16.0067 2.905e-03 4.180e-03 1.401e-02 8.080e-02 3.568e-01 2.761e-03 3.223e-03 4.928e-03 9.597e-03 4.504e-02 
Bootes I          0.02213075 15.4364 16.0243 16.5532 17.1043 17.7734 15.2939 15.5429 15.7514 15.9165 16.0915 3.645e-03 5.212e-03 1.688e-02 9.140e-02 3.885e-01 3.466e-03 4.038e-03 6.125e-03 1.178e-02 5.472e-02 
Bootes I          0.02479028 15.5337 16.1153 16.6344 17.1624 17.8151 15.3917 15.6385 15.8450 16.0069 16.1759 4.569e-03 6.493e-03 2.026e-02 1.038e-01 4.255e-01 4.348e-03 5.055e-03 7.612e-03 1.439e-02 6.613e-02 
Bootes I          0.02776940 15.6307 16.2069 16.7109 17.2195 17.8570 15.4891 15.7344 15.9375 16.0971 16.2611 5.725e-03 8.088e-03 2.431e-02 1.174e-01 4.632e-01 5.451e-03 6.326e-03 9.447e-03 1.753e-02 8.027e-02 
Bootes I          0.03110654 15.7227 16.2962 16.7910 17.2757 17.8981 15.5867 15.8292 16.0296 16.1869 16.3464 7.168e-03 1.006e-02 2.931e-02 1.328e-01 5.065e-01 6.828e-03 7.906e-03 1.170e-02 2.133e-02 9.590e-02 
Bootes I          0.03484471 15.8183 16.3830 16.8723 17.3345 17.9371 15.6824 15.9226 16.1211 16.2761 16.4347 8.986e-03 1.254e-02 3.510e-02 1.493e-01 5.523e-01 8.563e-03 9.888e-03 1.449e-02 2.602e-02 1.144e-01 
Bootes I          0.03903211 15.9102 16.4694 16.9512 17.3961 17.9750 15.7777 16.0156 16.2115 16.3662 16.5191 1.127e-02 1.558e-02 4.196e-02 1.680e-01 5.888e-01 1.074e-02 1.237e-02 1.793e-02 3.170e-02 1.344e-01 
Bootes I          0.04372272 16.0051 16.5557 17.0307 17.4544 18.0115 15.8716 16.1078 16.3019 16.4557 16.6030 1.412e-02 1.936e-02 5.017e-02 1.880e-01 6.386e-01 1.347e-02 1.546e-02 2.217e-02 3.842e-02 1.600e-01 
Bootes I          0.04897702 16.0988 16.6410 17.1086 17.5118 18.0507 15.9680 16.2007 16.3920 16.5459 16.6895 1.767e-02 2.402e-02 5.979e-02 2.110e-01 6.838e-01 1.688e-02 1.932e-02 2.742e-02 4.657e-02 1.877e-01 
Bootes I          0.05486275 16.1892 16.7273 17.1830 17.5681 18.0887 16.0624 16.2930 16.4813 16.6338 16.7759 2.211e-02 2.976e-02 7.105e-02 2.360e-01 7.279e-01 2.113e-02 2.410e-02 3.384e-02 5.638e-02 2.184e-01 
Bootes I          0.06145578 16.2794 16.8103 17.2583 17.6298 18.1217 16.1590 16.3842 16.5696 16.7230 16.8636 2.765e-02 3.682e-02 8.437e-02 2.638e-01 7.664e-01 2.645e-02 3.006e-02 4.169e-02 6.788e-02 2.539e-01 
Bootes I          0.06884112 16.3722 16.8935 17.3307 17.6859 18.1544 16.2504 16.4751 16.6574 16.8110 16.9513 3.463e-02 4.565e-02 1.005e-01 2.945e-01 8.058e-01 3.316e-02 3.752e-02 5.139e-02 8.210e-02 2.942e-01 
Bootes I          0.07711397 16.4637 16.9741 17.4048 17.7455 18.1843 16.3409 16.5642 16.7434 16.8980 17.0416 4.329e-02 5.644e-02 1.190e-01 3.279e-01 8.442e-01 4.152e-02 4.678e-02 6.321e-02 9.931e-02 3.367e-01 
